Distance (m),Elevation (m)
37602.29777,31.38040924
37846.46853,34.35311508
38090.6393,46.12105942
38334.81006,61.43495178
38578.98083,72.96279907
38823.15159,86.87213135
39067.32235,100.4653397
39311.49312,113.1226349
39555.66388,125.8967438
39799.83465,128.9710999
40044.00541,124.9297714
40288.17618,113.2080078
40532.34694,105.885643
40776.51771,110.9994736
41020.68847,127.1791077
41264.85924,137.3457031
41509.03,139.5342102
41753.20077,135.1255646
41997.37153,133.5995178
42241.5423,124.8110046
42485.71306,121.3543777
42729.88383,121.6685181
42974.05459,117.2022171
43218.22535,113.9885864
43462.39612,108.942421
43706.56688,106.0190582
43950.73765,101.4298401
44194.90841,94.1883316
44439.07918,91.62542725
44683.24994,89.49091339
44927.42071,88.69127655
45171.59147,90.29815674
45415.76224,91.56306458
45659.933,94.31656647
45904.10377,91.60596466
46148.27453,84.60253906
46392.4453,75.07891846
46636.61606,66.92294312
46880.78683,58.86230087
47124.95759,49.8766861
47369.12835,41.15391159
47613.29912,32.81378555
47857.46988,26.03443336
48101.64065,20.47692299
48345.81141,19.93680191
48589.98218,16.3310585
48834.15294,13.48018742
49078.32371,11.36406612
49322.49447,8.838093758
49566.66524,5.999586582
49810.836,4.887063026
50055.00677,5.274732113
50299.17753,5.727416992
50543.3483,7.159867287
50787.51906,6.761021614
51031.68983,6.756872177
51275.86059,7.146390438
51520.03136,14.2914896
51764.20212,9.276351929
52008.37288,10.8842802
52252.54365,11.89020348
52496.71441,11.69403839
52740.88518,11.08618927
52985.05594,10.69997215
53229.22671,11.15446377
53473.39747,11.41351032
53717.56824,13.0825119
53961.739,12.49278259
54205.90977,11.88275909
54450.08053,12.63876534
54694.2513,13.11014652
54938.42206,14.56546211
55182.59283,13.07448673
55426.76359,11.2532711
55670.93436,11.51205063
55915.10512,10.84002781
56159.27588,10.3337698
56403.44665,11.82945347
56647.61741,12.2569046
56891.78818,13.6822443
57135.95894,11.96246338
57380.12971,13.02298069
57624.30047,14.51177692
57868.47124,14.21148586
58112.642,14.6068182
58356.81277,14.99732399
58600.98353,15.48215675
58845.1543,17.59920883
59089.32506,19.91566086
59333.49583,22.69101715
59577.66659,28.63651276
59821.83736,34.35004807
60066.00812,32.79141617
60310.17888,30.50387001
60554.34965,27.70397568
60798.52041,27.89823341
61042.69118,30.70323372
61286.86194,35.56642151
61531.03271,39.0524025
61775.20347,37.08159637
62019.37424,40.70787811
62263.545,44.16820145
62507.71577,50.11410141
62751.88653,50.30541611
62996.0573,49.56743622
63240.22806,51.5949707
63484.39883,54.34199524
63728.56959,56.36379242
63972.74036,59.53022385
64216.91112,64.71640015
64461.08188,71.83044434
64705.25265,83.23369598
64949.42341,90.59360504
65193.59418,88.85624695
65437.76494,89.03042603
